Unnamed: 0,Year,Experience Level,Employment Type,Job Title,Salary (USD),Employee Country,Remote Ratio,Company Country,Company Size,Salary Range,US Company
1,2020,Senior,Full-Time,Machine Learning Scientist,260000,JP,On-Site,JP,Small,$200K+,International
3,2020,Mid-Level,Full-Time,Product Data Analyst,20000,HN,On-Site,HN,Small,Under $60K,International
4,2020,Senior,Full-Time,Machine Learning Engineer,150000,US,Hybrid,US,Large,$150K–$200K,US
5,2020,Entry-Level,Full-Time,Data Analyst,72000,US,Fully Remote,US,Large,$60K–$100K,US
6,2020,Senior,Full-Time,Lead Data Scientist,190000,US,Fully Remote,US,Small,$150K–$200K,US
8,2020,Mid-Level,Full-Time,Business Data Analyst,135000,US,Fully Remote,US,Large,$100K–$150K,US
9,2020,Senior,Full-Time,Lead Data Engineer,125000,NZ,Hybrid,NZ,Small,$100K–$150K,International
13,2020,Mid-Level,Full-Time,Lead Data Analyst,87000,US,Fully Remote,US,Large,$60K–$100K,US
14,2020,Mid-Level,Full-Time,Data Analyst,85000,US,Fully Remote,US,Large,$60K–$100K,US
15,2020,Mid-Level,Full-Time,Data Analyst,8000,PK,Hybrid,PK,Large,Under $60K,International
19,2020,Mid-Level,Full-Time,Lead Data Engineer,56000,PT,Fully Remote,US,Medium,Under $60K,US
23,2020,Mid-Level,Full-Time,BI Data Analyst,98000,US,On-Site,US,Medium,$60K–$100K,US
24,2020,Mid-Level,Full-Time,Lead Data Scientist,115000,AE,On-Site,AE,Large,$100K–$150K,International
25,2020,Executive,Full-Time,Director of Data Science,325000,US,Fully Remote,US,Large,$200K+,US
26,2020,Entry-Level,Full-Time,Research Scientist,42000,NL,Hybrid,NL,Large,Under $60K,International
28,2020,Entry-Level,Contract,Business Data Analyst,100000,US,Fully Remote,US,Large,$100K–$150K,US
31,2020,Entry-Level,Full-Time,Big Data Engineer,70000,US,Fully Remote,US,Large,$60K–$100K,US
33,2020,Mid-Level,Full-Time,Research Scientist,450000,US,On-Site,US,Medium,$200K+,US
36,2020,Mid-Level,Full-Time,Data Science Consultant,103000,US,Fully Remote,US,Large,$100K–$150K,US
37,2020,Entry-Level,Full-Time,Machine Learning Engineer,250000,US,Hybrid,US,Large,$200K+,US
